AoA,CL,CD
-5.0,-0.012,0.06279
-4.5,-0.0024,0.05957
-4.0,0.0057,0.05662
-3.5,0.0081,0.05403
-3.0,-0.0557,0.05402
-2.5,-0.1306,0.05603
-2.0,-0.1772,0.05451
-1.5,-0.2127,0.05486
-1.0,0.0932,0.05735
-0.5,0.2254,0.05196
0.0,0.3061,0.05047
0.5,0.3866,0.04888
1.0,0.4552,0.04872
1.5,0.5128,0.04944
2.0,0.5624,0.05092
2.5,0.6053,0.05329
3.0,0.6445,0.05661
4.0,0.6882,0.06511
4.5,0.7082,0.07101
5.0,0.7277,0.07699
5.5,0.7474,0.08302
6.0,0.7661,0.08932
6.5,0.7818,0.09622
7.0,0.7944,0.10391
7.5,0.8065,0.112
8.0,0.8187,0.12037
9.0,0.8403,0.1346
9.5,0.8673,0.13712
10.0,0.9813,0.17399
10.5,0.9378,0.15802
11.0,1.0215,0.1902
12.0,1.0185,0.18478
12.5,1.0322,0.19215
13.0,1.1122,0.24305
13.5,1.0667,0.21782
14.0,1.1515,0.27309
14.5,1.1252,0.26001
15.0,1.0939,0.23977
