AoA,CL,CD
-4.5,-0.3703,0.06855
-4.0,-0.3291,0.05808
-3.5,-0.2929,0.05192
-3.0,-0.2396,0.0456
-2.5,-0.2103,0.04159
-2.0,-0.2034,0.03687
-1.5,-0.1085,0.03012
-1.0,-0.0478,0.02929
-0.5,0.0292,0.02993
0.0,0.0914,0.03102
0.5,0.1436,0.03236
1.0,0.1901,0.03396
1.5,0.2329,0.0358
2.0,0.2728,0.03791
2.5,0.3103,0.04028
3.0,0.3455,0.04295
3.5,0.3786,0.04592
4.0,0.4096,0.04923
4.5,0.4388,0.05286
5.0,0.4661,0.05688
5.5,0.4915,0.06126
6.0,0.5154,0.066
6.5,0.5374,0.07114
7.0,0.5578,0.07671
7.5,0.5766,0.08278
8.0,0.5943,0.08927
8.5,0.6106,0.0962
9.0,0.6262,0.10347
9.5,0.6629,0.11377
10.0,0.7201,0.12709
10.5,0.7596,0.13852
11.0,0.7814,0.14716
12.0,0.8184,0.1642
12.5,0.8537,0.17762
13.0,0.8685,0.18667
13.5,0.8734,0.1907
14.0,0.8918,0.20116
14.5,0.9061,0.20899
15.0,0.9248,0.21908
