AoA,CL,CD
-5.0,-0.3731,0.077
-4.0,0.107,0.03979
-3.5,0.0297,0.04313
-3.0,-0.0797,0.04893
-2.5,-0.4123,0.05965
-2.0,-0.2792,0.05223
-1.5,-0.0445,0.04004
-1.0,0.0732,0.03748
-0.5,0.1287,0.03526
0.0,0.2304,0.03284
0.5,0.304,0.02958
1.0,0.383,0.03075
1.5,0.4258,0.03248
2.0,0.5021,0.03333
2.5,0.5488,0.03542
3.0,0.6146,0.0359
3.5,0.6468,0.03835
4.0,0.7085,0.03913
4.5,0.7322,0.04223
5.0,0.8015,0.04205
5.5,0.8031,0.04754
6.0,0.8706,0.04709
6.5,0.8599,0.05389
7.0,0.8739,0.05865
7.5,0.9431,0.05902
8.0,0.875,0.07115
8.5,0.9889,0.06692
9.0,0.9045,0.08381
9.5,0.8783,0.09299
10.0,0.9305,0.09501
10.5,0.8897,0.10734
11.0,0.8726,0.11829
11.5,0.8606,0.12876
12.0,0.9381,0.12553
12.5,0.9058,0.13789
13.0,0.9062,0.15042
13.5,0.942,0.16787
14.0,0.9345,0.17973
14.5,0.8979,0.18209
