AoA,CL,CD
-5.0,-0.2522,0.08397
-4.5,-0.279,0.08034
-4.0,-0.3158,0.07689
-3.5,-0.3436,0.07262
-3.0,-0.342,0.06727
-2.0,-0.112,0.04707
-1.5,-0.1491,0.04361
-1.0,-0.1155,0.04356
-0.5,-0.0829,0.04418
0.0,-0.0513,0.04504
0.5,-0.0204,0.04611
1.0,0.0099,0.04739
1.5,0.0395,0.04888
2.0,0.0682,0.0506
2.5,0.0959,0.05255
3.0,0.1226,0.05476
3.5,0.1482,0.05722
4.0,0.1728,0.05995
4.5,0.1965,0.06294
5.0,0.2196,0.06618
5.5,0.2423,0.06963
6.0,0.2646,0.0733
6.5,0.2867,0.07716
7.0,0.3086,0.08123
7.5,0.3302,0.08549
8.0,0.3513,0.08994
8.5,0.372,0.09461
9.0,0.3922,0.09949
9.5,0.4118,0.10459
10.0,0.4307,0.10992
10.5,0.4491,0.11547
11.0,0.4669,0.12123
11.5,0.4842,0.1272
12.0,0.5012,0.13332
12.5,0.5181,0.13957
13.0,0.5349,0.14593
13.5,0.5519,0.15235
14.0,0.569,0.15882
14.5,0.5863,0.16533
15.0,0.6037,0.17186
