AoA,CL,CD
-5.0,-0.233,0.08687
-4.5,-0.3619,0.09424
-3.5,-0.4261,0.08202
-3.0,-0.3938,0.07268
-2.5,-0.3546,0.06575
-2.0,-0.2776,0.05893
-1.5,-0.2437,0.05467
-1.0,-0.1949,0.05088
-0.5,-0.1596,0.04803
0.0,-0.1348,0.04487
0.5,0.0066,0.04378
1.0,0.0994,0.04665
1.5,0.1516,0.04915
2.0,0.196,0.05174
2.5,0.2366,0.05448
3.0,0.275,0.05741
3.5,0.311,0.06053
4.0,0.3457,0.0639
4.5,0.3788,0.06748
5.0,0.4101,0.07128
5.5,0.4403,0.07534
6.0,0.469,0.07966
6.5,0.4964,0.08425
7.0,0.5224,0.08909
7.5,0.5472,0.09424
8.0,0.5706,0.09965
8.5,0.5929,0.10539
9.0,0.6141,0.11141
9.5,0.6346,0.11775
10.0,0.6692,0.12584
10.5,0.7095,0.13423
11.0,0.7576,0.14658
11.5,0.7786,0.15273
12.0,0.8007,0.15865
12.5,0.8344,0.17096
13.0,0.8571,0.1785
13.5,0.9102,0.20104
14.0,0.8947,0.19223
14.5,0.9082,0.19936
15.0,0.9567,0.22553
