AoA,CL,CD
-5.0,-0.4433,0.11726
-4.5,-0.4201,0.109
-4.0,-0.4456,0.10663
-3.0,-0.4331,0.09943
-2.5,-0.4307,0.09347
-2.0,-0.4171,0.08817
-1.5,0.1991,0.04532
-1.0,0.1845,0.04776
-0.5,0.1923,0.05003
0.0,0.21,0.05176
0.5,0.2215,0.05233
1.0,0.2833,0.05337
1.5,0.3017,0.05434
2.0,0.3335,0.05516
2.5,0.4679,0.05971
3.0,0.5102,0.06259
3.5,0.671,0.06666
4.0,0.6553,0.07048
4.5,0.7246,0.074
5.0,0.7936,0.07793
5.5,0.794,0.08308
6.0,0.9045,0.08413
6.5,0.8908,0.09133
7.0,0.8974,0.09697
7.5,1.0351,0.09556
8.0,0.9687,0.10667
8.5,0.9816,0.11214
9.0,1.0825,0.11185
9.5,1.0306,0.12215
10.0,1.17,0.11416
10.5,1.0949,0.12874
11.0,1.2126,0.11891
12.0,1.6375,0.06633
12.5,1.5055,0.0867
13.0,1.1799,0.15765
13.5,1.2488,0.15442
14.0,1.1944,0.17809
14.5,1.1708,0.19407
