AoA,CL,CD
-5.0,-0.1671,0.06749
-4.5,-0.2314,0.07038
-4.0,-0.2762,0.07053
-3.5,-0.3024,0.06956
-3.0,-0.2806,0.06624
-2.5,-0.1998,0.05914
-2.0,-0.1403,0.05191
-1.5,-0.0607,0.04442
-1.0,0.0008,0.03757
0.0,0.2224,0.03169
0.5,0.2835,0.03298
1.0,0.3299,0.03441
1.5,0.3709,0.03608
2.0,0.4083,0.03803
2.5,0.4429,0.04029
3.0,0.4751,0.04288
3.5,0.505,0.04585
4.0,0.533,0.04919
4.5,0.559,0.05293
5.0,0.5831,0.0571
5.5,0.6054,0.06169
6.0,0.626,0.06667
6.5,0.6457,0.07202
7.0,0.6642,0.07775
7.5,0.6818,0.0838
8.0,0.6988,0.09017
8.5,0.7149,0.09689
9.0,0.7301,0.10391
9.5,0.7445,0.11133
10.0,0.7582,0.11924
10.5,0.7709,0.12765
11.0,0.7829,0.13653
11.5,0.8049,0.14776
12.0,0.863,0.16429
12.5,0.9127,0.18336
13.0,0.9402,0.19496
13.5,0.965,0.20856
14.0,0.9574,0.2065
14.5,0.9734,0.21557
15.0,0.9929,0.22586
