AoA,CL,CD
-5.0,-0.4025,0.10482
-4.5,-0.3884,0.09998
-4.0,-0.3467,0.09463
-3.5,-0.3284,0.09014
-2.5,-0.2463,0.05806
-2.0,-0.158,0.05236
-1.5,-0.0931,0.04602
-1.0,-0.0675,0.04608
-0.5,-0.0338,0.04601
0.0,0.038,0.04712
0.5,0.1264,0.04689
1.0,0.1743,0.04857
1.5,0.1672,0.04784
2.0,0.1937,0.04875
2.5,0.2177,0.05021
3.0,0.3277,0.05076
3.5,0.4235,0.05447
4.0,0.424,0.05629
4.5,0.4383,0.05978
5.0,0.455,0.06308
5.5,0.4708,0.06627
6.0,0.486,0.06888
6.5,0.5157,0.07078
7.0,0.6604,0.0719
7.5,0.6297,0.07536
8.0,0.703,0.07512
8.5,0.7847,0.07769
9.0,0.7307,0.0855
9.5,0.7344,0.09045
10.0,0.8704,0.08306
10.5,0.8624,0.09138
11.0,0.8194,0.10115
11.5,0.8167,0.10832
12.0,0.8651,0.11021
12.5,0.905,0.12073
13.0,0.8829,0.13059
13.5,0.8674,0.14277
14.5,0.824,0.20065
15.0,0.8344,0.20909
