AoA,CL,CD
-5.0,-0.0119,0.0917
-4.5,-0.0146,0.08913
-4.0,-0.0401,0.08798
-3.5,-0.1335,0.09058
-3.0,-0.2471,0.09512
-2.5,-0.3561,0.0989
-2.0,-0.3727,0.09455
-1.5,-0.2592,0.08088
-1.0,-0.1794,0.07353
-0.5,-0.0786,0.06655
0.0,-0.0038,0.06339
1.0,0.0799,0.05909
3.0,0.2937,0.07038
3.5,0.3271,0.07429
4.0,0.3586,0.07838
4.5,0.3889,0.08266
5.0,0.4181,0.08716
5.5,0.4463,0.09187
6.0,0.4735,0.09677
6.5,0.5,0.10186
7.0,0.5258,0.10709
7.5,0.5508,0.11248
8.0,0.5752,0.11799
8.5,0.6157,0.12567
9.5,0.7022,0.1423
10.0,0.7273,0.14702
10.5,0.7471,0.15089
11.0,0.7749,0.15702
11.5,0.8174,0.17047
12.0,0.8315,0.17157
12.5,0.8504,0.17724
13.0,0.9062,0.19929
13.5,0.893,0.1892
14.0,0.9494,0.21621
14.5,0.9361,0.20397
15.0,0.9747,0.22378
