AoA,CL,CD
-5.0,-0.377,0.10152
-4.5,-0.3774,0.09305
-4.0,-0.3682,0.08848
-3.5,-0.3309,0.08455
-3.0,-0.3261,0.07804
-2.0,-0.182,0.06591
-1.5,-0.0031,0.05579
-1.0,0.1292,0.04754
-0.5,0.2392,0.04383
0.0,0.2888,0.04323
0.5,0.3912,0.04224
1.0,0.4246,0.04195
1.5,0.5201,0.04235
2.0,0.5239,0.04453
2.5,0.5949,0.04668
3.0,0.6127,0.05002
3.5,0.6418,0.05267
4.0,0.7441,0.05448
4.5,0.7135,0.05913
5.0,0.729,0.06312
5.5,0.8272,0.06491
6.0,0.8022,0.07018
6.5,0.8086,0.07509
7.0,0.8941,0.0776
7.5,0.8725,0.08323
8.0,0.8742,0.08909
8.5,0.9534,0.09175
9.0,0.928,0.0977
9.5,0.9938,0.10048
10.0,1.0914,0.09702
10.5,1.3366,0.04648
11.0,1.2998,0.0547
11.5,1.3009,0.06136
12.0,1.3304,0.06815
12.5,1.3513,0.07574
13.0,1.3365,0.08507
13.5,1.3014,0.09582
14.0,1.2536,0.10827
14.5,1.1976,0.12455
15.0,1.1487,0.14498
