AoA,CL,CD
-5.0,-0.2863,0.1211
-4.5,-0.3537,0.13099
-4.0,-0.3479,0.12061
-3.5,-0.3408,0.11469
-3.0,-0.3503,0.11228
-2.5,-0.3671,0.11542
-2.0,-0.3637,0.10711
-1.5,-0.356,0.10203
-1.0,-0.3409,0.09735
-0.5,-0.3041,0.09199
0.0,0.1622,0.06386
0.5,0.2093,0.06581
2.5,0.3158,0.07263
3.0,0.3806,0.07677
3.5,0.4442,0.08166
4.0,0.4927,0.08592
4.5,0.537,0.09017
5.0,0.5759,0.09489
5.5,0.6763,0.10556
6.0,0.7371,0.11306
6.5,0.7833,0.12013
7.5,0.8602,0.13345
8.0,0.906,0.14125
8.5,0.9528,0.15109
9.0,0.9763,0.15783
9.5,1.0048,0.16566
10.0,1.0153,0.16944
10.5,1.0552,0.18111
11.0,1.0812,0.18924
11.5,1.0979,0.1944
12.0,1.0883,0.19519
12.5,1.1132,0.20489
13.0,1.138,0.2131
13.5,1.1535,0.22434
14.0,1.1567,0.2262
14.5,1.1822,0.24014
15.0,1.1808,0.24186
