AoA,CL,CD
-4.5,-0.2418,0.07156
-4.0,-0.3383,0.07805
-3.5,-0.2993,0.05706
-3.0,-0.2248,0.04725
-2.5,-0.1602,0.04014
-2.0,-0.0978,0.03499
-1.5,-0.0394,0.03141
-1.0,-0.0126,0.02591
-0.5,0.034,0.02704
0.0,0.0751,0.02843
0.5,0.1136,0.0301
1.0,0.15,0.03204
1.5,0.1838,0.03432
2.0,0.2158,0.03692
2.5,0.2733,0.04065
3.0,0.3616,0.04526
3.5,0.4505,0.05
4.0,0.5028,0.05373
4.5,0.555,0.05731
5.0,0.6117,0.0618
5.5,0.6646,0.06559
6.0,0.6859,0.07014
6.5,0.7071,0.0752
7.0,0.7546,0.08014
7.5,0.7474,0.08711
8.0,0.7905,0.09267
8.5,0.7816,0.10017
9.0,0.815,0.11261
9.5,0.8425,0.11759
11.0,0.777,0.14061
11.5,0.8168,0.1523
12.0,0.8356,0.15756
12.5,0.8376,0.16414
13.0,0.8884,0.18203
13.5,0.867,0.17617
14.0,0.9309,0.20573
14.5,0.8905,0.19188
15.0,0.9346,0.21316
